Date,GOOGL,FCT,NDIA,MSFT,SPHY,XCCC,SPY,SRLN
2020-01-02 00:00:00-05:00,68.35554504394531,7.990293025970459,,154.2156524658203,19.810791015625,,303.1355285644531,35.29761505126953
2020-01-03 00:00:00-05:00,67.99795532226562,7.945365905761719,,152.29541015625,19.810791015625,,300.84014892578125,35.27492904663086
2020-01-06 00:00:00-05:00,69.81037902832031,7.945365905761719,,152.68905639648438,19.810791015625,,301.98785400390625,35.305179595947266
2020-01-07 00:00:00-05:00,69.675537109375,7.9838714599609375,,151.29689025878906,19.80328369140625,,301.1387023925781,35.312744140625
2020-01-08 00:00:00-05:00,70.17146301269531,8.054471015930176,,153.70680236816406,19.80328369140625,,302.7437438964844,35.32786178588867
2020-01-09 00:00:00-05:00,70.90811920166016,8.054471015930176,,155.62709045410156,19.840789794921875,,304.7964782714844,35.38838195800781
2020-01-10 00:00:00-05:00,71.3660888671875,8.118647575378418,,154.9069366455078,19.870800018310547,,303.9194030761719,35.365684509277344
2020-01-13 00:00:00-05:00,71.91896057128906,8.105813026428223,,156.76963806152344,19.885805130004883,,306.009521484375,35.37325668334961
2020-01-14 00:00:00-05:00,71.44750213623047,8.131484985351562,,155.66549682617188,19.8783016204834,,305.5429382324219,35.358123779296875
2020-01-15 00:00:00-05:00,71.87750244140625,8.118647575378418,,156.67359924316406,19.90080451965332,,306.2334289550781,35.365684509277344
2020-01-16 00:00:00-05:00,72.42488098144531,8.157158851623535,,159.54440307617188,19.893308639526367,,308.78094482421875,35.34299850463867
2020-01-17 00:00:00-05:00,73.89119720458984,8.060888290405273,,160.43727111816406,19.8783016204834,,309.7419738769531,35.358123779296875
2020-01-21 00:00:00-05:00,74.02754211425781,8.099394798278809,,159.86122131347656,19.870800018310547,,309.1354064941406,35.365684509277344
2020-01-22 00:00:00-05:00,74.10844421386719,8.144320487976074,,159.09307861328125,19.885805130004883,,309.1727600097656,35.358123779296875
2020-01-23 00:00:00-05:00,74.14939880371094,8.150736808776855,,160.07244873046875,19.825794219970703,,309.52728271484375,35.39594268798828
2020-01-24 00:00:00-05:00,73.2244644165039,8.202083587646484,,158.45944213867188,19.788286209106445,,306.774658203125,35.32030487060547
2020-01-27 00:00:00-05:00,71.50444030761719,8.099394798278809,,155.80947875976562,19.64575958251953,,301.8572998046875,35.25223159790039
2020-01-28 00:00:00-05:00,72.44186401367188,8.157158851623535,,158.8627166748047,19.765783309936523,,305.02044677734375,35.22199630737305
2020-01-29 00:00:00-05:00,72.75150299072266,8.118647575378418,,161.33981323242188,19.73577880859375,,304.7685241699219,35.22199630737305
2020-01-30 00:00:00-05:00,72.62914276123047,8.112229347229004,,165.8908233642578,19.780784606933594,,305.757568359375,35.27492904663086
2020-01-31 00:00:00-05:00,71.55687713623047,8.080140113830566,,163.44247436523438,19.713279724121094,,300.2056884765625,35.16904830932617
2020-02-03 00:00:00-05:00,74.04501342773438,8.075621604919434,,167.42701721191406,19.733625411987305,,302.43572998046875,35.176639556884766
2020-02-04 00:00:00-05:00,72.18765258789062,8.082080841064453,,172.93812561035156,19.816545486450195,,307.0451965332031,35.23741912841797
2020-02-05 00:00:00-05:00,72.21961212158203,8.062699317932129,,172.7269287109375,19.884380340576172,,310.591064453125,35.21461868286133
2020-02-06 00:00:00-05:00,73.71389770507812,8.049779891967773,,176.3082275390625,19.89945411682129,,311.6361389160156,35.21461868286133
2020-02-07 00:00:00-05:00,73.87071990966797,8.056239128112793,,176.55780029296875,19.90699005126953,,309.9752197265625,35.22221755981445
2020-02-10 00:00:00-05:00,75.34652709960938,8.082080841064453,,181.17604064941406,19.89945411682129,,312.2892761230469,35.22221755981445
2020-02-11 00:00:00-05:00,75.41644287109375,8.095001220703125,,177.08590698242188,19.93714141845703,,312.8304748535156,35.23741912841797
2020-02-12 00:00:00-05:00,75.8444595336914,8.095001220703125,,177.3451385498047,19.997446060180664,,314.845947265625,35.28297805786133
2020-02-13 00:00:00-05:00,75.58275604248047,8.082080841064453,,176.385009765625,20.01251792907715,,314.5100402832031,35.313358306884766
2020-02-14 00:00:00-05:00,75.84944915771484,8.062699317932129,,177.9595947265625,20.020055770874023,,315.013916015625,35.336151123046875
2020-02-18 00:00:00-05:00,75.8849105834961,8.082080841064453,,179.76467895507812,19.97483253479004,,314.2021789550781,35.3741455078125
2020-02-19 00:00:00-05:00,76.15609741210938,8.062699317932129,,180.30380249023438,20.00498390197754,,315.70440673828125,35.39691162109375
2020-02-20 00:00:00-05:00,75.7625503540039,8.114381790161133,,177.55032348632812,20.020055770874023,,314.407470703125,35.3817253112793
2020-02-21 00:00:00-05:00,74.08796691894531,8.120842933654785,,171.9375,19.997446060180664,,311.16961669921875,35.38932800292969
2020-02-24 00:00:00-05:00,70.91161346435547,8.030394554138184,,164.5243377685547,19.824079513549805,,300.84954833984375,35.207027435302734
2020-02-25 00:00:00-05:00,69.23654174804688,8.011013984680176,,161.80938720703125,19.711015701293945,,291.73309326171875,35.176639556884766
2020-02-26 00:00:00-05:00,69.44380187988281,7.972253322601318,,163.83114624023438,19.718555450439453,,290.6601257324219,35.085487365722656
2020-02-27 00:00:00-05:00,65.67212677001953,7.84304141998291,,152.28773498535156,19.454734802246094,,277.6060485839844,34.766448974609375
2020-02-28 00:00:00-05:00,66.88573455810547,7.6104607582092285,,155.97506713867188,19.49995994567871,,276.4396667480469,34.50819778442383
2020-03-02 00:00:00-05:00,69.23654174804688,7.7425432205200195,,166.35354614257812,19.58404541015625,,288.4112548828125,34.645503997802734
