Introduction,Header,Name,Account,Alias,BaseCurrency,AccountType,AnalysisPeriod,PerformanceMeasure
Introduction,Data,SINTRO Asset Management GmbH,SPY3,SPY3,USD,Institution Client,"January 1, 2024 to July 24, 2024 (Daily)",TWR
Allocation by Asset Class,MetaInfo,Analysis Period,"January 1, 2024 - July 24, 2024"
Allocation by Asset Class,Header,Date,Equities,Fixed Income,Cash,NAV
Allocation by Asset Class,Data,20240612,12451.28,835.82,2.110042,13289.210042
Allocation by Asset Class,Data,20240613,12476.35,837.37,2.110042,13315.830042
Allocation by Asset Class,Data,20240614,12483.94,838.22,2.110042,13324.270042
Allocation by Asset Class,Data,20240617,12583.3,837.26,2.110042,13422.670042
Allocation by Asset Class,Data,20240618,12615.27,838.48,2.110042,13455.860042
Allocation by Asset Class,Data,20240619,12615.27,838.39,2.110042,13455.770042
Allocation by Asset Class,Data,20240620,12581,837.99,2.110042,13421.100042
Allocation by Asset Class,Data,20240621,12523.73,838.07,30.430042,13392.230042
Allocation by Asset Class,Data,20240624,12483.02,838.43,30.430042,13351.880042
Allocation by Asset Class,Data,20240625,12531.09,838.69,30.430042,13400.210042
Allocation by Asset Class,Data,20240626,12546.73,837.33,30.430042,13414.490042
Allocation by Asset Class,Data,20240627,12566.51,838.19,30.430042,13435.130042
Allocation by Asset Class,Data,20240628,12517.06,836.89,30.430042,13384.380042
Allocation by Asset Class,Data,20240701,12542.82,834.52,30.980042,13408.320042
Allocation by Asset Class,Data,20240702,12627.23,835.62,30.980042,13493.830042
Allocation by Asset Class,Data,20240703,12683.58,837.46,30.980042,13552.020042
Allocation by Asset Class,Data,20240704,12683.58,837.42,30.980042,13551.980042
Allocation by Asset Class,Data,20240705,12756.72,838.7,30.980042,13626.400042
Allocation by Asset Class,Data,20240708,12771.44,544.18,325.100641,13640.720641
Allocation by Asset Class,Data,20240709,12783.86,0,867.492577,13651.352577
Allocation by Asset Class,Data,20240710,12910.36,0,867.492577,13777.852577
Allocation by Asset Class,Data,20240711,12799.04,0,867.492577,13666.532577
Allocation by Asset Class,Data,20240712,12879.77,0,867.492577,13747.262577
Allocation by Asset Class,Data,20240715,12915.19,0,867.492577,13782.682577
Allocation by Asset Class,Data,20240716,12991.78,0,867.492577,13859.272577
Allocation by Asset Class,Data,20240717,12809.62,0,867.492577,13677.112577
Allocation by Asset Class,Data,20240718,13263.84,0,312.14372,13575.98372
Allocation by Asset Class,Data,20240719,13175.76,0,312.14372,13487.90372
Allocation by Asset Class,Data,20240722,13311.6,0,312.14372,13623.74372
Allocation by Asset Class,Data,20240723,13290.72,0,312.14372,13602.86372
Allocation by Asset Class,Data,20240724,12989.52,0,312.14372,13301.66372
Disclosure,"IMPORTANT NOTE: This portfolio analysis was generated using Interactive Brokers' PortfolioAnalyst tool, which allows Interactive Brokers clients to generate analyses of their accounts using market data provided by third parties along with trade and account data contained in Interactive Brokers' systems. This analysis is for information purposes only and is provided AS IS. Interactive Brokers makes no warranty of any kind, express or implied, as to this report analysis and its contents. The data provided for use in this Portfolio Analysis is believed to be accurate but completeness and accuracy of the information is not guaranteed, and Interactive Brokers has no liability with respect thereto. The data regarding accounts held outside of Interactive Brokers is obtained either directly from you or from the financial institutions holding those accounts through a third-party service provider and Interactive Brokers has not reviewed its accuracy.

This material in this analysis is intended only as a reference and should not be relied upon for the maintenance of your books and records for tax, accounting, financial, or regulatory reporting or for any other purposes. This analysis is not an offer or a solicitation of an offer to buy or sell any security. This material does not and is not intended to take into account the particular financial conditions, investment objectives or requirements of individual customers. Before acting on this material, you should consider whether it is suitable for your particular circumstances and, as necessary, seek professional advice."
