Introduction,Header,Name,Account,Alias,BaseCurrency,AccountType,AnalysisPeriod,PerformanceMeasure
Introduction,Data,SINTRO Asset Management GmbH,SPY3,SPY3,USD,Institution Client,"January 1, 2024 to July 24, 2024 (Daily)",TWR
Allocation by Asset Class,MetaInfo,Analysis Period,"January 1, 2024 - July 24, 2024"
Allocation by Asset Class,Header,Date,Equities,Fixed Income,Cash,NAV
Allocation by Asset Class,Data,20240101,10932.13,530.13,265.892649,11728.152649
Allocation by Asset Class,Data,20240102,10870.95,530.4,265.892649,11667.242649
Allocation by Asset Class,Data,20240103,10782.17,530.33,265.892649,11578.392649
Allocation by Asset Class,Data,20240104,10747.44,530.6,265.892649,11543.932649
Allocation by Asset Class,Data,20240105,10762.16,530.78,265.892649,11558.832649
Allocation by Asset Class,Data,20240108,10915.8,530.73,265.892649,11712.422649
Allocation by Asset Class,Data,20240109,10899.24,530.9,265.892649,11696.032649
Allocation by Asset Class,Data,20240110,10960.88,530.88,265.892649,11757.652649
Allocation by Asset Class,Data,20240111,10956.05,531.28,265.892649,11753.222649
Allocation by Asset Class,Data,20240112,10963.64,531.48,265.892649,11761.012649
Allocation by Asset Class,Data,20240115,10963.64,531.58,265.892649,11761.112649
Allocation by Asset Class,Data,20240116,10923.39,531.53,265.892649,11720.812649
Allocation by Asset Class,Data,20240117,10862.67,531.43,265.892649,11659.992649
Allocation by Asset Class,Data,20240118,10959.27,531.63,265.892649,11756.792649
Allocation by Asset Class,Data,20240119,11095.89,531.7,265.892649,11893.482649
Allocation by Asset Class,Data,20240122,11119.35,531.75,265.892649,11916.992649
Allocation by Asset Class,Data,20240123,11151.78,531.8,265.892649,11949.472649
Allocation by Asset Class,Data,20240124,11163.97,531.9,265.892649,11961.762649
Allocation by Asset Class,Data,20240125,11224.69,532.13,265.892649,12022.712649
Allocation by Asset Class,Data,20240126,11210.43,532.18,265.892649,12008.502649
Allocation by Asset Class,Data,20240129,11299.21,532.28,265.892649,12097.382649
Allocation by Asset Class,Data,20240130,11290.47,532.43,265.892649,12088.792649
Allocation by Asset Class,Data,20240131,11106.24,532.48,265.892649,11904.612649
Allocation by Asset Class,Data,20240201,11251.6,532.7,265.892649,12050.192649
Allocation by Asset Class,Data,20240202,11370.05,532.75,265.892649,12168.692649
Allocation by Asset Class,Data,20240205,11328.65,532.74,265.892649,12127.282649
Allocation by Asset Class,Data,20240206,11361.54,532.78,265.892649,12160.212649
Allocation by Asset Class,Data,20240207,11456.3,532.88,265.892649,12255.072649
Allocation by Asset Class,Data,20240208,11461.36,533.1,265.892649,12260.352649
Allocation by Asset Class,Data,20240209,11527.6,533.13,265.892649,12326.622649
Allocation by Asset Class,Data,20240212,11522.54,533.24,265.892649,12321.672649
Allocation by Asset Class,Data,20240213,11363.84,533.25,265.892649,12162.982649
Allocation by Asset Class,Data,20240214,11467.11,533.28,265.892649,12266.282649
Allocation by Asset Class,Data,20240215,11546.23,533.68,265.892649,12345.802649
Allocation by Asset Class,Data,20240216,11488.73,533.55,265.892649,12288.172649
Allocation by Asset Class,Data,20240219,11488.73,533.8,265.892649,12288.422649
Allocation by Asset Class,Data,20240220,11425.48,533.8,265.892649,12225.172649
Allocation by Asset Class,Data,20240221,11435.83,533.85,265.892649,12235.572649
Allocation by Asset Class,Data,20240222,11672.5,533.98,265.892649,12472.372649
Allocation by Asset Class,Data,20240223,11680.55,534.08,265.892649,12480.522649
Allocation by Asset Class,Data,20240226,11637.77,534.1,265.892649,12437.762649
Allocation by Asset Class,Data,20240227,11659.39,534.25,265.892649,12459.532649
Allocation by Asset Class,Data,20240228,11643.98,534.35,265.892649,12444.222649
Allocation by Asset Class,Data,20240229,11685.84,534.48,265.892649,12486.212649
Allocation by Asset Class,Data,20240301,11795.55,534.7,265.892649,12596.142649
Allocation by Asset Class,Data,20240304,11782.9,534.68,265.892649,12583.472649
Allocation by Asset Class,Data,20240305,11665.14,534.75,265.892649,12465.782649
Allocation by Asset Class,Data,20240306,11724.25,534.83,265.892649,12524.972649
Allocation by Asset Class,Data,20240307,11840.63,535.15,265.892649,12641.672649
Allocation by Asset Class,Data,20240308,11769.56,535.18,265.892649,12570.632649
Allocation by Asset Class,Data,20240311,11759.44,535.2,265.892649,12560.532649
Allocation by Asset Class,Data,20240312,11885.94,535.25,265.892649,12687.082649
Allocation by Asset Class,Data,20240313,11867.31,535.3,265.892649,12668.502649
Allocation by Asset Class,Data,20240314,11843.85,535.53,265.892649,12645.272649
Allocation by Asset Class,Data,20240315,11726.09,535.6,291.562649,12553.252649
Allocation by Asset Class,Data,20240318,11795.78,535.55,291.572649,12622.902649
Allocation by Asset Class,Data,20240319,11861.33,535.8,291.572649,12688.702649
Allocation by Asset Class,Data,20240320,11971.04,535.8,291.572649,12798.412649
Allocation by Asset Class,Data,20240321,12010.6,536.15,291.572649,12838.322649
Allocation by Asset Class,Data,20240322,11987.83,536.18,291.572649,12815.582649
Allocation by Asset Class,Data,20240325,11954.71,536.23,291.572649,12782.512649
Allocation by Asset Class,Data,20240326,11932.63,536.33,291.572649,12760.532649
Allocation by Asset Class,Data,20240327,12032.91,536.78,291.572649,12861.262649
Allocation by Asset Class,Data,20240328,12030.61,536.9,291.572649,12859.082649
Allocation by Asset Class,Data,20240329,12030.61,536.9,291.572649,12859.082649
Allocation by Asset Class,Data,20240401,12009.68,536.9,291.572649,12838.152649
Allocation by Asset Class,Data,20240402,11933.32,536.9,291.572649,12761.792649
Allocation by Asset Class,Data,20240403,11946.43,536.93,291.572649,12774.932649
Allocation by Asset Class,Data,20240404,11800.61,537.15,291.572649,12629.332649
Allocation by Asset Class,Data,20240405,11923.89,537.23,291.572649,12752.692649
Allocation by Asset Class,Data,20240408,11930.56,537.28,291.572649,12759.412649
Allocation by Asset Class,Data,20240409,11944.36,537.38,291.572649,12773.312649
Allocation by Asset Class,Data,20240410,11824.76,537.2,291.572649,12653.532649
Allocation by Asset Class,Data,20240411,11914,537.55,291.572649,12743.122649
Allocation by Asset Class,Data,20240412,11749.55,537.66,291.572649,12578.782649
Allocation by Asset Class,Data,20240415,11602.35,537.73,291.572649,12431.652649
Allocation by Asset Class,Data,20240416,11581.19,537.78,291.572649,12410.542649
Allocation by Asset Class,Data,20240417,11512.65,537.93,291.572649,12342.152649
Allocation by Asset Class,Data,20240418,11488.96,538.15,291.572649,12318.682649
Allocation by Asset Class,Data,20240419,11388.68,538.15,291.572649,12218.402649
Allocation by Asset Class,Data,20240422,11493.56,538.2,291.572649,12323.332649
Allocation by Asset Class,Data,20240423,11629.95,538.3,291.572649,12459.822649
Allocation by Asset Class,Data,20240424,11624.43,538.38,291.572649,12454.382649
Allocation by Asset Class,Data,20240425,11580.27,538.58,291.572649,12410.422649
Allocation by Asset Class,Data,20240426,11689.98,538.65,291.572649,12520.202649
Allocation by Asset Class,Data,20240429,11731.38,538.8,291.572649,12561.752649
Allocation by Asset Class,Data,20240430,11545.54,538.68,291.572649,12375.792649
Allocation by Asset Class,Data,20240501,11508.05,538.68,291.572649,12338.302649
Allocation by Asset Class,Data,20240502,11615.69,539.15,291.572649,12446.412649
Allocation by Asset Class,Data,20240503,11759.67,539.38,291.572649,12590.622649
Allocation by Asset Class,Data,20240506,11881.11,539.38,291.572649,12712.062649
Allocation by Asset Class,Data,20240507,11894.22,539.5,291.572649,12725.292649
Allocation by Asset Class,Data,20240508,11895.37,539.53,291.572649,12726.472649
Allocation by Asset Class,Data,20240509,11963.91,539.69,291.572649,12795.172649
Allocation by Asset Class,Data,20240510,11979.32,539.7,291.572649,12810.592649
Allocation by Asset Class,Data,20240513,11980.93,539.95,291.572649,12812.452649
Allocation by Asset Class,Data,20240514,12035.9,539.93,291.572649,12867.402649
Allocation by Asset Class,Data,20240515,12184.94,540.1,291.572649,13016.612649
Allocation by Asset Class,Data,20240516,12159.87,540.35,291.572649,12991.792649
Allocation by Asset Class,Data,20240517,12177.35,540.43,291.572649,13009.352649
Allocation by Asset Class,Data,20240520,12191.38,540.45,291.572649,13023.402649
Allocation by Asset Class,Data,20240521,12221.28,540.55,291.572649,13053.402649
Allocation by Asset Class,Data,20240522,12186.09,540.65,291.572649,13018.312649
Allocation by Asset Class,Data,20240523,12097.08,540.88,291.572649,12929.532649
Allocation by Asset Class,Data,20240524,12177.12,540.98,291.572649,13009.672649
Allocation by Asset Class,Data,20240527,12177.12,540.98,291.572649,13009.672649
Allocation by Asset Class,Data,20240528,12185.63,541.03,291.572649,13018.232649
Allocation by Asset Class,Data,20240529,12100.3,830.32,1.570042,12932.190042
Allocation by Asset Class,Data,20240530,12020.03,831.61,1.570042,12853.210042
Allocation by Asset Class,Data,20240531,12129.51,832.83,1.570042,12963.910042
Allocation by Asset Class,Data,20240603,12139.4,833.43,2.110042,12974.940042
Allocation by Asset Class,Data,20240604,12152.97,834.87,2.110042,12989.950042
Allocation by Asset Class,Data,20240605,12297.41,835.76,2.110042,13135.280042
Allocation by Asset Class,Data,20240606,12297.18,836.13,2.110042,13135.420042
Allocation by Asset Class,Data,20240607,12282.23,833.7,2.110042,13118.040042
Allocation by Asset Class,Data,20240610,12320.18,833.43,2.110042,13155.720042
Allocation by Asset Class,Data,20240611,12349.85,834.5,2.110042,13186.460042
