Date,GOOGL,MSFT,FCT,NDIA,SPY,SPHY,XCCC,SRLN
2020-01-02 00:00:00-05:00,68.35554504394531,154.21563720703125,7.990292072296143,,303.1356201171875,19.8107852935791,,35.297607421875
2020-01-03 00:00:00-05:00,67.99795532226562,152.29541015625,7.94536828994751,,300.8402404785156,19.8107852935791,,35.27493667602539
2020-01-06 00:00:00-05:00,69.81037902832031,152.68907165527344,7.94536828994751,,301.9879455566406,19.8107852935791,,35.3051872253418
2020-01-07 00:00:00-05:00,69.675537109375,151.29684448242188,7.983872890472412,,301.13873291015625,19.80328941345215,,35.31275177001953
2020-01-08 00:00:00-05:00,70.17146301269531,153.70681762695312,8.054474830627441,,302.74365234375,19.80328941345215,,35.3278694152832
2020-01-09 00:00:00-05:00,70.90811920166016,155.6270294189453,8.054474830627441,,304.7965087890625,19.840801239013672,,35.38837432861328
2020-01-10 00:00:00-05:00,71.3660888671875,154.90696716308594,8.118647575378418,,303.91937255859375,19.870798110961914,,35.36570358276367
2020-01-13 00:00:00-05:00,71.91896057128906,156.7696075439453,8.105814933776855,,306.009521484375,19.885812759399414,,35.37324905395508
2020-01-14 00:00:00-05:00,71.44750213623047,155.6654510498047,8.131486892700195,,305.54302978515625,19.8783016204834,,35.35811996459961
2020-01-15 00:00:00-05:00,71.87750244140625,156.673583984375,8.118647575378418,,306.23345947265625,19.900808334350586,,35.36570358276367
2020-01-16 00:00:00-05:00,72.42488098144531,159.54440307617188,8.15715503692627,,308.7808837890625,19.8933048248291,,35.34299850463867
2020-01-17 00:00:00-05:00,73.89119720458984,160.43731689453125,8.060890197753906,,309.7419128417969,19.8783016204834,,35.35811996459961
2020-01-21 00:00:00-05:00,74.02754211425781,159.86117553710938,8.099392890930176,,309.1353759765625,19.870798110961914,,35.36570358276367
2020-01-22 00:00:00-05:00,74.10844421386719,159.09312438964844,8.14432144165039,,309.1726989746094,19.885812759399414,,35.35811996459961
2020-01-23 00:00:00-05:00,74.14939880371094,160.0724639892578,8.150739669799805,,309.5273742675781,19.825794219970703,,35.39593505859375
2020-01-24 00:00:00-05:00,73.2244644165039,158.4594268798828,8.202082633972168,,306.774658203125,19.78829002380371,,35.3203239440918
2020-01-27 00:00:00-05:00,71.50444030761719,155.80950927734375,8.099392890930176,,301.85723876953125,19.645767211914062,,35.252254486083984
2020-01-28 00:00:00-05:00,72.44186401367188,158.86265563964844,8.15715503692627,,305.02044677734375,19.765789031982422,,35.22198486328125
2020-01-29 00:00:00-05:00,72.75150299072266,161.33984375,8.118647575378418,,304.76849365234375,19.735780715942383,,35.22198486328125
2020-01-30 00:00:00-05:00,72.62914276123047,165.89085388183594,8.112232208251953,,305.757568359375,19.78078842163086,,35.27493667602539
2020-01-31 00:00:00-05:00,71.55687713623047,163.4424591064453,8.080141067504883,,300.2056884765625,19.71328353881836,,35.16905212402344
2020-02-03 00:00:00-05:00,74.04501342773438,167.42701721191406,8.075617790222168,,302.43572998046875,19.733619689941406,,35.176639556884766
2020-02-04 00:00:00-05:00,72.18765258789062,172.9381561279297,8.082080841064453,,307.0453186035156,19.81654167175293,,35.2374153137207
2020-02-05 00:00:00-05:00,72.21961212158203,172.7269287109375,8.06269645690918,,310.59100341796875,19.88437843322754,,35.21461486816406
2020-02-06 00:00:00-05:00,73.71389770507812,176.3081817626953,8.04977798461914,,311.63616943359375,19.899457931518555,,35.21461486816406
2020-02-07 00:00:00-05:00,73.87071990966797,176.5578155517578,8.05623722076416,,309.9752502441406,19.90699005126953,,35.22222900390625
2020-02-10 00:00:00-05:00,75.34652709960938,181.1760711669922,8.082080841064453,,312.2892761230469,19.899457931518555,,35.22222900390625
2020-02-11 00:00:00-05:00,75.41644287109375,177.08592224121094,8.094999313354492,,312.8304138183594,19.93714714050293,,35.2374153137207
2020-02-12 00:00:00-05:00,75.8444595336914,177.34515380859375,8.094999313354492,,314.8459777832031,19.997440338134766,,35.28299331665039
2020-02-13 00:00:00-05:00,75.58275604248047,176.385009765625,8.082080841064453,,314.5100402832031,20.01251983642578,,35.313377380371094
2020-02-14 00:00:00-05:00,75.84944915771484,177.9596405029297,8.06269645690918,,315.0139465332031,20.020063400268555,,35.33614730834961
2020-02-18 00:00:00-05:00,75.8849105834961,179.7646942138672,8.082080841064453,,314.2021179199219,19.974836349487305,,35.37412643432617
2020-02-19 00:00:00-05:00,76.15609741210938,180.3038330078125,8.06269645690918,,315.7044372558594,20.00498390197754,,35.39691925048828
2020-02-20 00:00:00-05:00,75.7625503540039,177.5503387451172,8.11438274383545,,314.4073791503906,20.020063400268555,,35.381736755371094
2020-02-21 00:00:00-05:00,74.08796691894531,171.93748474121094,8.120842933654785,,311.1695251464844,19.997440338134766,,35.389320373535156
2020-02-24 00:00:00-05:00,70.91161346435547,164.5243682861328,8.0303955078125,,300.8494873046875,19.82408332824707,,35.20702362060547
2020-02-25 00:00:00-05:00,69.23654174804688,161.8093719482422,8.011013984680176,,291.7331848144531,19.711017608642578,,35.176639556884766
2020-02-26 00:00:00-05:00,69.44380187988281,163.83116149902344,7.972249507904053,,290.6601257324219,19.718551635742188,,35.085487365722656
2020-02-27 00:00:00-05:00,65.67212677001953,152.2877960205078,7.843039512634277,,277.60601806640625,19.454730987548828,,34.766456604003906
2020-02-28 00:00:00-05:00,66.88573455810547,155.97509765625,7.610462188720703,,276.4396057128906,19.49995994567871,,34.50819778442383
2020-03-02 00:00:00-05:00,69.23654174804688,166.35354614257812,7.7425408363342285,,288.4113464355469,19.58405303955078,,34.645503997802734
